City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Esperance,20,TT,1541631600,82.4,3.36,10.24,-61.45,78
Yellowknife,75,CA,1541631120,12.2,2.24,62.45,-114.38,85
Busselton,32,AU,1541633502,58.49,8.75,-33.64,115.35,100
Igrim,24,RU,1541633502,11.82,14.56,63.19,64.42,75
Araouane,0,ML,1541633502,69.65,6.51,18.9,-3.53,30
Ushuaia,75,AR,1541631600,53.6,9.17,-54.81,-68.31,37
Mujiayingzi,44,CN,1541633503,23.88,2.59,42.12,118.78,68
Salalah,20,OM,1541631000,77,4.7,17.01,54.1,78
Tuktoyaktuk,75,CA,1541628000,6.8,12.75,69.44,-133.03,77
Castro,88,CL,1541633504,52.68,3.15,-42.48,-73.76,64
Natal,40,BR,1541631600,80.6,8.05,-5.81,-35.21,74
Katsuura,20,JP,1541628000,50,5.82,33.93,134.5,100
Cape Town,0,ZA,1541631600,59,6.93,-33.93,18.42,77
Vidim,90,CZ,1541631600,48.2,3.36,50.47,14.53,93
San Policarpo,100,PH,1541633504,77.88,11.43,12.18,125.51,100
Kibala,0,TD,1541631600,77,4.61,9.11,18.35,78
Lodja,36,CD,1541633508,72.98,1.81,-3.52,23.6,96
Maldonado,0,UY,1541631600,62.6,12.75,-34.91,-54.96,63
Thompson,90,CA,1541628000,10.4,5.82,55.74,-97.86,85
Hirara,20,JP,1541628000,71.6,5.82,24.8,125.28,88
Vung Tau,40,VN,1541631600,77,2.24,10.35,107.08,94
Cherskiy,36,RU,1541633509,-7.31,2.71,68.75,161.3,61
Axim,20,GH,1541633509,81.75,6.06,4.87,-2.24,100
Virginia Beach,1,US,1541631360,66.2,5.17,36.85,-75.98,72
Champerico,40,MX,1541630880,86,1.59,16.38,-93.6,51
Minna,0,NG,1541633510,74.1,2.93,9.62,6.55,90
Rikitea,20,PF,1541633510,73.61,5.39,-23.12,-134.97,100
Klaksvik,92,FO,1541631000,50,35.57,62.23,-6.59,93
Los Andes,0,CL,1541631600,82.4,14.99,-32.83,-70.6,24
Ponta Delgada,20,PT,1541631600,59,8.05,37.73,-25.67,77
Uppsala,90,SE,1541631000,46.4,4.7,59.86,17.64,100
Avarua,75,CK,1541631600,80.6,12.75,-21.21,-159.78,74
Puerto Ayora,20,EC,1541631600,77,20.8,-0.74,-90.35,69
Portland,40,US,1541631360,51.98,2.26,45.52,-122.67,68
Bar Harbor,1,US,1541631360,51.08,6.93,44.39,-68.2,73
Butaritari,0,KI,1541633512,85.4,11.43,3.07,172.79,100
Jamestown,12,AU,1541633502,55.88,4.27,-33.21,138.6,62
Brookhaven,1,US,1541632500,62.06,9.17,40.78,-72.92,45
Butajira,100,ET,1541633512,54.12,0.92,8.12,38.38,94
Lebu,75,ET,1541628000,57.2,6.93,8.96,38.73,82
Tuatapere,92,NZ,1541633513,49.22,6.17,-46.13,167.69,100
Bonavista,0,CA,1541633513,49.13,18.48,48.65,-53.11,82
Khatanga,12,RU,1541633514,-19.68,16.69,71.98,102.47,56
Port Alfred,0,ZA,1541633561,59.21,13.89,-33.59,26.89,100
Sivas,40,TR,1541631000,33.8,4.7,39.75,37.01,86
Aklavik,75,CA,1541628000,8.6,3.36,68.22,-135.01,77
Saskylakh,20,RU,1541633562,-30.3,8.19,71.97,114.09,50
Carahue,32,CL,1541633562,53.45,4.16,-38.71,-73.16,94
Cururupu,92,BR,1541633562,80.36,9.98,-1.82,-44.87,84
Atuona,8,PF,1541633563,80.27,12.66,-9.8,-139.03,100
Faanui,92,PF,1541633563,81.75,16.69,-16.48,-151.75,99
Muroto,75,JP,1541628000,57.2,8.05,33.37,134.14,82
Marsh Harbour,0,BS,1541633563,81.26,14.67,26.54,-77.06,99
Victoria,75,BN,1541631600,77,4.5,5.28,115.24,100
Hami,0,CN,1541633564,21.41,4.83,42.84,93.51,69
Kapaa,20,US,1541631360,84.02,9.17,22.08,-159.32,65
Almaznyy,0,RU,1541633564,24.6,2.82,48.03,40.04,72
Ilulissat,0,GL,1541631000,6.8,2.24,69.22,-51.1,60
Meiganga,36,CM,1541633565,64.34,2.48,6.52,14.29,96
Qaanaaq,0,GL,1541633565,-4.16,10.2,77.48,-69.36,100
Fukue,20,JP,1541629800,62.6,3.36,35.03,136.69,82
Nyurba,64,RU,1541633565,3.68,6.96,63.29,118.35,81
Tokur,88,RU,1541633565,22.76,4.72,53.13,132.9,76
Saint-Philippe,90,CA,1541632500,47.66,5.82,45.36,-73.48,57
Ginda,0,IN,1541633566,40.85,2.71,30.69,78.49,59
Albany,20,US,1541631240,51.8,5.82,42.65,-73.75,49
Port Elizabeth,1,US,1541631360,60.98,11.21,39.31,-74.98,59
Hobart,75,AU,1541631600,51.8,19.46,-42.88,147.33,43
Gamovo,75,RU,1541629800,35.6,13.42,57.87,56.11,93
Barrow,0,AR,1541633567,64.88,15.68,-38.31,-60.23,33
Port Moresby,40,PG,1541631600,87.8,3.36,-9.47,147.16,62
Timbuktu,32,ML,1541633567,69.78,3.04,16.77,-3.01,39
Saint George,75,GR,1541631000,55.4,2.71,39.45,22.34,93
Bluff,88,AU,1541633567,77.84,16.35,-23.58,149.07,56
Punta Arenas,75,CL,1541631600,50,31.09,-53.16,-70.91,66
Buraydah,75,SA,1541628000,64.4,4.7,26.33,43.97,100
Provideniya,75,RU,1541629800,28.4,2.24,64.42,-173.23,86
Marzuq,0,YE,1541633568,47.24,2.15,14.4,46.47,91
Palimbang,20,PH,1541631600,80.6,2.24,14.9,120.78,78
Yulara,0,AU,1541631600,66.2,20.8,-25.24,130.99,34
Cabo Rojo,40,PR,1541631000,75.2,3.36,18.09,-67.15,100
Mahebourg,20,MU,1541631600,73.4,3.36,-20.41,57.7,88
Candido de Abreu,92,BR,1541633569,70.1,7.85,-24.57,-51.33,72
Bensheim,90,DE,1541631360,50.9,3.36,49.68,8.62,100
Lasa,20,CY,1541631600,62.6,5.82,34.92,32.53,67
Carnarvon,0,ZA,1541633569,36.8,2.93,-30.97,22.13,38
Bredasdorp,0,ZA,1541631600,50,1.12,-34.53,20.04,81
Vaini,80,IN,1541633621,72.75,2.15,15.34,74.49,86
Guiglo,48,CI,1541633622,71.45,2.59,6.55,-7.5,96
Polewali,80,ID,1541633622,77.7,2.59,-4.03,119.8,94
San Cristobal,40,EC,1541631600,64.4,14.99,-0.39,-78.55,59
Clyde River,90,CA,1541628000,6.8,8.05,70.47,-68.59,92
Narsaq,0,GL,1541631000,15.8,2.24,60.91,-46.05,72
Georgetown,20,GY,1541631600,80.6,6.93,6.8,-58.16,83
Hilo,90,US,1541631360,80.96,4.7,19.71,-155.08,67
Geraldton,90,CA,1541628000,24.8,12.75,49.72,-86.95,85
Nautla,0,MX,1541633623,81.44,16.35,20.22,-96.78,98
Mataura,92,NZ,1541633624,49.53,5.39,-46.19,168.86,100
Lavrentiya,88,RU,1541633624,30.41,4.72,65.58,-170.99,100
Tacoronte,75,ES,1541631600,69.8,3.36,28.48,-16.41,82
Kavieng,12,PG,1541633419,85.76,7.85,-2.57,150.8,100
Waddan,0,LY,1541633624,55.52,6.62,29.16,16.14,92
Vila Franca do Campo,20,PT,1541631600,59,8.05,37.72,-25.43,77
Christchurch,92,NZ,1541631600,78.8,17.22,-43.53,172.64,50
Siteki,0,SZ,1541631600,51.8,6.73,-26.45,31.95,93
Iqaluit,90,CA,1541630580,23,9.17,63.75,-68.52,79
Ashqelon,0,IL,1541632800,60.8,2.24,31.67,34.57,82
Sao Gabriel da Cachoeira,12,BR,1541633626,77.97,2.59,-0.13,-67.09,92
Saint-Pierre,90,FR,1541631600,50,16.11,48.95,4.24,87
Portel,0,PT,1541631600,50,2.24,38.31,-7.71,87
Yar-Sale,48,RU,1541633626,4.85,16.8,66.83,70.83,86
Ahipara,64,NZ,1541633627,68.88,12.21,-35.17,173.16,76
Talnakh,32,RU,1541633627,-11.45,9.19,69.49,88.39,72
Nikolskoye,90,RU,1541629800,41,2.24,59.7,30.79,93
Vostok,8,RU,1541633627,19.43,2.37,46.45,135.83,65
Constitucion,5,MX,1541630880,77,5.82,23.99,-104.67,29
Innisfail,5,CA,1541631600,21.2,5.82,52.02,-113.95,62
Hermanus,0,ZA,1541633131,44.27,2.82,-34.42,19.24,90
La Sarre,92,CA,1541633410,35.22,11.21,48.8,-79.2,100
Amfissa,80,GR,1541633628,52.73,4.27,38.53,22.38,100
Qasigiannguit,0,GL,1541631000,6.8,2.24,68.82,-51.19,60
Caravelas,92,BR,1541633628,78.29,16.02,-17.73,-39.27,100
San Andres,36,PH,1541633629,82.02,19.93,13.32,122.68,100
Mareeba,20,AU,1541631600,84.2,6.93,-16.99,145.42,58
Verkhnevilyuysk,68,RU,1541633629,-2,7.07,63.45,120.31,71
Padang,56,ID,1541633629,80.54,8.41,-0.92,100.36,100
Alofi,90,NU,1541631600,78.8,18.34,-19.06,-169.92,78
Eureka,1,US,1541631300,57.92,13.87,40.8,-124.16,57
Chokurdakh,56,RU,1541633630,-13.25,5.73,70.62,147.9,83
Vestmannaeyjar,76,IS,1541633630,41.03,9.86,63.44,-20.27,98
Kewanee,90,US,1541631660,37.58,9.17,41.25,-89.92,71
Madimba,75,CM,1541628000,77,2.24,4.42,9.93,100
Vila Velha,20,BR,1541631600,80.6,10.29,-3.71,-38.6,74
Namatanai,36,PG,1541633681,85.98,8.3,-3.66,152.44,95
Maniitsoq,0,GL,1541633682,11.73,7.18,65.42,-52.9,100
Bathsheba,75,BB,1541631600,80.6,14.99,13.22,-59.52,83
Calama,0,CL,1541631600,71.6,14.99,-22.46,-68.93,9
Onega,76,RU,1541633682,39.23,6.85,63.91,38.09,100
Tongren,80,CN,1541633683,41.93,3.71,27.72,109.18,100
Cidreira,36,BR,1541633683,66.9,15.68,-30.17,-50.22,77
Acajutla,20,SV,1541631000,86,4.7,13.59,-89.83,74
Margate,75,AU,1541631600,51.8,19.46,-43.03,147.26,43
Bambous Virieux,20,MU,1541631600,73.4,3.36,-20.34,57.76,88
Harper,1,US,1541632500,78.44,3.36,30.3,-99.24,61
Vao,76,EE,1541633684,40.85,3.04,59.1,26.19,100
Machiques,56,VE,1541633684,68.52,3.38,10.06,-72.55,97
Meulaboh,24,ID,1541633684,77.39,4.38,4.14,96.13,100
Mackay,5,CA,1541631600,26.6,9.17,53.65,-115.58,62
Vardo,90,US,1541632500,57.92,6.73,39.62,-77.74,47
Lompoc,1,US,1541631360,77,12.75,34.64,-120.46,65
Beloha,36,MG,1541633685,66.59,3.71,-25.17,45.06,92
Tasiilaq,92,GL,1541631000,35.6,29.97,65.61,-37.64,74
Shihezi,92,CN,1541633685,27.89,3.27,44.3,86.03,96
Grand Gaube,20,MU,1541631600,73.4,3.36,-20.01,57.66,88
Dikson,12,RU,1541633685,5.7,29.66,73.51,80.55,100
Great Yarmouth,56,GB,1541631000,48.2,8.05,52.61,1.73,93
Richards Bay,44,ZA,1541633686,62.22,11.21,-28.77,32.06,73
Yarada,0,IN,1541633686,81.17,6.06,17.65,83.27,100
Nanortalik,0,GL,1541633686,25.55,6.96,60.14,-45.24,99
Yagodnoye,48,RU,1541633686,-13.52,2.93,62.52,149.63,75
Longyearbyen,75,NO,1541631000,30.2,6.93,78.22,15.63,68
College,1,US,1541631480,15.98,2.71,64.86,-147.8,79
Olinda,75,EC,1541631600,82.4,9.17,-2.03,-79.75,65
Ulaanbaatar,40,MN,1541631600,10.4,4.47,47.92,106.92,72
Hammerfest,20,NO,1541631000,35.6,11.41,70.66,23.68,100
Pavlivka,0,UA,1541633688,24.6,2.82,48.13,39.54,72
Alihe,36,CN,1541633688,10.61,2.48,50.57,123.73,69
Arraial do Cabo,75,BR,1541628000,73.4,12.75,-22.97,-42.02,88
Pevek,68,RU,1541633688,9.71,2.59,69.7,170.27,100
Oranjemund,0,ZA,1541633689,60.92,28.21,-28.55,16.43,86
Hazorasp,0,UZ,1541628000,30.2,2.24,41.32,61.08,92
Mahajanga,40,MG,1541631600,80.6,4.7,-15.72,46.32,83
Port Blair,36,IN,1541633689,84.77,11.77,11.67,92.75,97
Ipilan,80,PH,1541633689,81.3,7.74,8.84,117.9,100
Ribeira Grande,44,PT,1541633690,66.23,21.39,38.52,-28.7,98
Severo-Kurilsk,64,RU,1541633690,39.23,11.88,50.68,156.12,95
Hithadhoo,48,MV,1541633690,84.77,18.59,-0.6,73.08,98
Hattiesburg,90,US,1541632500,69.8,2.59,31.33,-89.29,100
Southbridge,1,US,1541631360,60.08,9.17,42.08,-72.03,56
Ishigaki,40,JP,1541628000,75.2,3.36,24.34,124.16,88
Olga,5,US,1541632260,77.72,6.93,34.11,-118.17,56
Mount Gambier,76,AU,1541633513,56.78,5.84,-37.83,140.78,70
Port Lincoln,24,AU,1541633742,59.84,9.19,-34.72,135.86,84
Pundaguitan,20,PH,1541633742,83.37,7.96,6.37,126.17,100
Abu Dhabi,0,AE,1541631600,77,4.7,24.47,54.37,65
Marystown,92,CA,1541633742,49.04,17.02,47.17,-55.16,95
Pangody,44,RU,1541633742,-0.87,13.67,65.85,74.49,78
Soligalich,88,RU,1541633743,33.92,8.41,59.08,42.29,98
Luganville,68,VU,1541633743,80.22,14.45,-15.51,167.18,98
Morant Bay,40,JM,1541631600,82.4,10.29,17.88,-76.41,69
Codrington,100,AU,1541633743,65.1,3.94,-28.95,153.24,100
Lorengau,8,PG,1541633744,85.31,4.16,-2.02,147.27,98
La Orilla,0,MX,1541633744,81.48,6.29,18,-102.23,82
Cuamba,100,MZ,1541633744,79.82,3.94,-14.8,36.54,42
Cedar City,1,US,1541631180,57.92,6.73,37.68,-113.06,19
Nome,90,US,1541632500,78.8,3.36,30.04,-94.42,85
Kodiak,1,US,1541631180,39.92,6.93,39.95,-94.76,64
Lalmohan,8,BD,1541633745,74.78,9.19,22.34,90.74,90
Whitianga,56,NZ,1541633745,63.44,15.35,-36.83,175.7,94
Ust-Abakan,0,RU,1541631600,35.6,17.9,53.84,91.38,64
Airai,0,TL,1541633745,77.52,2.04,-8.93,125.41,83
Puerto Leguizamo,32,CO,1541633619,79.19,2.15,-0.19,-74.78,90
Tura,0,IN,1541633746,58.58,2.59,25.52,90.21,85
Vilhena,20,BR,1541633746,73.88,2.37,-12.74,-60.15,95
Roald,0,NO,1541631000,51.8,4.7,62.58,6.12,87
Sabha,0,LY,1541633746,58.08,5.73,27.03,14.43,53
Laguna,5,MX,1541630460,91.4,6.93,27.52,-110.01,14
New Norfolk,75,AU,1541631600,51.8,19.46,-42.78,147.06,43
Kargasok,80,RU,1541633747,23.75,4.72,59.06,80.87,85
Mehamn,40,NO,1541631000,33.8,11.41,71.03,27.85,80
Lexington Park,75,US,1541632500,57.2,5.82,38.26,-76.45,64
Ouesso,48,CG,1541633747,70.77,2.26,1.61,16.05,100
Tateyama,20,JP,1541628000,51.8,1.12,36.66,137.31,93
Aguimes,75,ES,1541631600,68,6.93,27.91,-15.45,60
Rafai,32,CF,1541633748,71.54,5.17,4.95,23.92,92
Rio Grande,75,BR,1541628000,68,13.87,-32.03,-52.1,77
Tazmalt,0,DZ,1541631600,53.6,6.93,36.39,4.4,81
Torbay,75,CA,1541631600,50,19.46,47.66,-52.73,100
Choix,0,MX,1541633749,77.93,1.7,26.71,-108.33,32
Jasper,68,US,1541631360,57.2,6.17,33.83,-87.28,87
Paracuru,20,BR,1541631600,80.6,10.29,-3.41,-39.03,74
Clovis,1,US,1541631360,77,3.36,36.83,-119.7,28
Jacmel,20,HT,1541631600,82.4,5.82,18.24,-72.54,74
Flinders,40,AU,1541628000,59,12.75,-34.58,150.85,41
Polunochnoye,48,RU,1541633801,32.21,14.23,60.87,60.43,91
Banjar,88,ID,1541633802,73.92,2.71,-7.37,108.54,95
Mayumba,92,GA,1541633802,77.25,4.5,-3.44,10.65,100
Grindavik,90,IS,1541631600,41,4.7,63.84,-22.43,100
Nancha,0,CN,1541633802,21.45,3.15,47.14,129.26,68
Fortuna,0,ES,1541631600,55.4,1.12,38.18,-1.13,82
Gushikawa,1,JP,1541631360,75.02,3.36,26.35,127.87,95
Redlands,5,US,1541631480,75.92,4.7,34.06,-117.19,40
Hasaki,20,JP,1541631600,60.8,11.41,35.73,140.83,77
East London,0,ZA,1541633803,61.95,12.44,-33.02,27.91,100
Foso,12,GH,1541633803,71.9,3.71,5.7,-1.29,96
Colombo,40,LK,1541628600,75.2,5.82,6.93,79.85,88
Turukhansk,64,RU,1541633804,7.64,10.98,65.8,87.96,81
Chuy,0,UY,1541633804,61.23,13.67,-33.69,-53.46,76
Alvorada,40,BR,1541631600,71.6,12.75,-30,-51.08,88
Beringovskiy,8,RU,1541633804,21.68,2.59,63.05,179.32,100
Cabedelo,20,BR,1541631600,78.8,5.82,-6.97,-34.84,78
General Roca,75,AR,1541631600,84.2,10.29,-39.03,-67.58,32
Anito,56,PH,1541633805,81.44,18.14,12.45,125.29,100
Jackville,20,CI,1541631600,82.4,2.24,5.21,-4.42,78
Huntington,20,US,1541631360,62.06,12.75,40.87,-73.43,49
Port Augusta,40,AU,1541631600,60.8,3.36,-32.49,137.76,55
Varzea Grande,75,BR,1541628000,71.6,14.99,-29.42,-50.86,73
Egvekinot,76,RU,1541633806,18.53,2.82,66.32,-179.17,85
Sisimiut,56,GL,1541633806,2.51,1.59,66.94,-53.67,100
Mandalgovi,64,MN,1541633807,14.52,8.41,45.76,106.27,57
Dingle,80,PH,1541633807,78.78,12.77,11,122.67,88
Phan Thiet,0,VN,1541633807,80.18,14.45,10.93,108.1,97
Comodoro Rivadavia,0,AR,1541631600,80.6,25.28,-45.87,-67.48,10
San Patricio,0,PY,1541633808,76.8,6.96,-26.98,-56.83,61
Pedernales,56,EC,1541633808,74.24,7.18,0.07,-80.05,89
Zunyi,24,CN,1541633808,37.7,2.48,27.73,106.92,91
Mar del Plata,8,AR,1541633808,71.58,26.31,-46.43,-67.52,28
Rajapolah,88,ID,1541633808,70.19,1.59,-7.24,108.18,96
Handan,48,CN,1541633809,39.18,5.28,36.58,114.48,97
Griffith,0,AU,1541633809,57.63,9.31,-34.29,146.06,77
Jiwani,0,PK,1541633809,67.04,5.61,25.05,61.74,91
